N,D,jitter_std,rep,vpp_clean_uV,vpp_noisy_uV,snr,peak_neg_uV,crossings,detected
1,25,0,0,30.108016034797497,45.05520222086682,3.0108016034797496,-18.641320271883256,1,True
1,25,0,1,50.5044067560024,62.3216475095704,5.050440675600241,-32.78264600058687,2,True
1,25,0,2,47.87079829880612,67.04510299921735,4.7870798298806125,-30.998688038804932,2,True
1,25,3,0,53.356338137749105,66.92575838507655,5.33563381377491,-34.864162503110464,1,True
1,25,3,1,47.73628535194379,61.136929002829326,4.773628535194379,-30.781289505491536,3,True
1,25,3,2,33.97222134896936,45.70773475621665,3.3972221348969365,-21.256385022494673,2,True
1,25,5,0,43.22304242403192,57.32739249585573,4.322304242403192,-27.733467150265863,1,True
1,25,5,1,31.845268726161446,45.24697930926877,3.1845268726161446,-19.891027245469942,2,True
1,25,5,2,12.3858941035937,35.91793192713388,1.23858941035937,-7.307738293809209,0,False
1,25,10,0,51.36531851141893,53.890121593743196,5.136531851141893,-33.47934082151802,1,True
1,25,10,1,44.000496411612865,49.83646454796684,4.400049641161287,-28.31072575144369,2,True
1,25,10,2,31.764991310412775,49.70383959558685,3.1764991310412776,-19.71044914000884,4,True
1,25,20,0,44.81295393904394,62.62247548544715,4.481295393904395,-28.80044047981957,2,True
1,25,20,1,42.99009596168226,60.169838001710126,4.299009596168226,-27.325725718558786,2,True
1,25,20,2,55.95499643586865,71.31153227185655,5.595499643586865,-36.74982407224008,2,True
1,25,30,0,37.91771963075487,52.5812259829282,3.7917719630754867,-23.90884367469063,1,True
1,25,30,1,29.49058853013996,44.38273816834865,2.949058853013996,-18.15663809924428,1,True
1,25,30,2,38.653654955975036,50.37504119815263,3.8653654955975036,-24.47657387001103,2,True
1,25,50,0,13.388927808461847,33.6039104057991,1.3388927808461848,-7.927324109571429,0,False
1,25,50,1,19.590487363999024,34.10456870207108,1.9590487363999025,-11.784354937527036,0,False
1,25,50,2,56.71487577312682,63.6779012464834,5.671487577312682,-37.31434625843196,2,True
1,50,0,0,17.11269135922461,32.02706586625972,1.711269135922461,-11.058986047875887,0,False
1,50,0,1,13.844887504184452,34.78092837130307,1.3844887504184453,-8.900603976679461,0,False
1,50,0,2,9.460564091707791,38.811076028354975,0.9460564091707792,-5.873499912131412,0,False
1,50,3,0,16.40158441902105,36.421900073517605,1.640158441902105,-10.576260009944868,1,True
1,50,3,1,13.890460543876195,35.91103062351236,1.3890460543876195,-8.927802315875024,0,False
1,50,3,2,16.981024311683587,32.501731856859394,1.6981024311683588,-10.966801837864965,0,False
1,50,5,0,16.59664644445003,34.15910217252137,1.659664644445003,-10.688542666039963,0,False
1,50,5,1,15.766239158059394,35.57088737491874,1.5766239158059394,-10.144718366171668,0,False
1,50,5,2,10.077786175708777,39.33238936252274,1.0077786175708776,-6.280162802574353,0,False
1,50,10,0,18.345614459568832,42.11282585590627,1.8345614459568833,-11.837878329443228,0,False
1,50,10,1,15.170813224930622,35.08677206321183,1.5170813224930622,-9.774979715784978,0,False
1,50,10,2,6.3380068666298115,31.5158231574272,0.6338006866629812,-3.830431008069211,0,False
1,50,20,0,14.65818865809899,38.07233243152423,1.465818865809899,-9.356481510539755,0,False
1,50,20,1,5.373919847581162,36.57780213228666,0.5373919847581161,-3.2301002548046274,0,False
1,50,20,2,7.78972215469234,37.04544231385381,0.778972215469234,-4.767015293879639,1,True
1,50,30,0,10.184066411139689,34.62909940749614,1.018406641113969,-6.30633182665598,0,False
1,50,30,1,4.954323577441394,35.51686003069132,0.4954323577441394,-2.9618119078228,0,False
1,50,30,2,6.628885494140917,32.19833040674448,0.6628885494140917,-4.0145898544436065,0,False
1,50,50,0,4.8033896152042885,29.521545994689085,0.4803389615204289,-2.8475224277828888,0,False
1,50,50,1,17.096989901966012,35.06279816308787,1.709698990196601,-10.991789047499827,0,False
1,50,50,2,15.86850720677197,35.7526278970026,1.586850720677197,-10.221767763921246,0,False
1,75,0,0,4.220230952067003,32.84165953778748,0.4220230952067003,-2.592437685304129,0,False
1,75,0,1,5.071178594428718,35.56111298881321,0.5071178594428718,-3.2118644096452345,0,False
1,75,0,2,4.735025710199036,34.30356747355283,0.47350257101990356,-2.974572376269739,0,False
1,75,3,0,4.801527372633512,32.60215436229029,0.48015273726335117,-2.9802209759501563,0,False
1,75,3,1,5.779923929189124,35.398440664081086,0.5779923929189124,-3.62751599513137,0,False
1,75,3,2,7.264903606203309,30.821377911574146,0.7264903606203309,-4.605486171200553,0,False
1,75,5,0,6.67477959187082,41.04799370236213,0.667477959187082,-4.249805482220386,0,False
1,75,5,1,0.11639673491195367,31.770859527959956,0.011639673491195367,-0.06641392681552966,0,False
1,75,5,2,1.0281860425865077,37.01106373360078,0.10281860425865078,-0.6048151619704188,1,True
1,75,10,0,7.830814283501725,36.362650786808885,0.7830814283501726,-5.005497983955394,0,False
1,75,10,1,3.402364420240193,33.28671419373726,0.34023644202401926,-2.1262719889842536,0,False
1,75,10,2,7.626270242259242,30.691903779883297,0.7626270242259242,-4.821063341061604,0,False
1,75,20,0,8.176322713592832,36.83528903423158,0.8176322713592832,-5.230682347844092,0,False
1,75,20,1,1.668518741078683,30.64955182451774,0.1668518741078683,-1.0017855183507787,0,False
1,75,20,2,7.552895394336991,34.93865109039966,0.7552895394336991,-4.772164157864092,0,False
1,75,30,0,5.291446487035054,30.903586811418286,0.5291446487035054,-3.3119334377215117,0,False
1,75,30,1,6.013960688680595,33.726231958680074,0.6013960688680595,-3.7690077488064118,0,False
1,75,30,2,3.2934741792738644,32.56467083670868,0.3293474179273864,-2.0194698321542153,0,False
1,75,50,0,1.4194113721224646,34.57520238751134,0.14194113721224647,-0.8350035098905096,0,False
1,75,50,1,3.191456272121007,35.45717496439611,0.3191456272121007,-1.9834761632940738,0,False
1,75,50,2,3.623986481158706,33.8485906811936,0.36239864811587064,-2.234851652003326,0,False
1,100,0,0,2.9374203289224865,31.219540396916898,0.29374203289224865,-1.8182331938512641,0,False
1,100,0,1,0.9643209080558303,30.132549857854876,0.09643209080558303,-0.5847143660001588,0,False
1,100,0,2,0.050137081763507736,30.627749554291128,0.005013708176350774,-0.02482159193572933,0,False
1,100,3,0,5.041250931177731,35.7389840888477,0.5041250931177731,-3.2350520845015422,0,False
1,100,3,1,1.9048005667718177,34.31459461468005,0.19048005667718176,-1.1718704658507912,0,False
1,100,3,2,2.185181643145314,32.49783625975524,0.2185181643145314,-1.3604366368252212,0,False
1,100,5,0,3.6483720486453093,35.497696909576064,0.3648372048645309,-2.29453562887735,0,False
1,100,5,1,2.4588814177136293,33.328599476819164,0.24588814177136292,-1.4771132812162366,0,False
1,100,5,2,3.0120140357560223,32.59184632928921,0.3012014035756022,-1.8992548311012767,0,False
1,100,10,0,5.309909465914425,32.14870201090723,0.5309909465914424,-3.3917467392231297,0,False
1,100,10,1,0.961800721965586,34.37527395837918,0.0961800721965586,-0.5829090564587511,0,False
1,100,10,2,3.8580438526738283,32.53864558561796,0.3858043852673828,-2.398947219771967,0,False
1,100,20,0,3.8429484058893784,32.69858750448374,0.3842948405889378,-2.4257881978259395,0,False
